,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Address,Cross Street,Location ,Year
119,1429666,170100661,03/07/2017,03/07/2017,2320,1,Central,148,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0342,51.0,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH                          ST,CROCKER,"(34.0435, -118.2427)",2017
124,1429671,170100672,03/13/2017,03/13/2017,1620,1,Central,162,480,BIKE - STOLEN,0344 2004,16.0,M,O,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,7TH,HOPE                         ST,"(34.048, -118.2577)",2017
132,1429679,170100696,03/20/2017,03/20/2017,1520,1,Central,143,761,BRANDISH WEAPON,1202 0334 0432 0601 1402,67.0,M,O,102.0,SIDEWALK,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,3RD                          ST,HILL                         ST,"(0, 0)",2017
136,1429683,170100704,03/25/2017,03/25/2017,55,1,Central,135,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,31.0,M,H,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,3RD,MAIN,"(34.0489, -118.2453)",2017
137,1429684,170100705,03/25/2017,03/25/2017,1050,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0431 2004,40.0,M,H,102.0,SIDEWALK,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,6TH                          ST,TOWNE                        AV,"(34.0408, -118.2428)",2017
139,1429686,170100709,03/25/2017,03/25/2017,1910,1,Central,111,210,ROBBERY,0390 0416 0344,59.0,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,CESAR E CHAVEZ,HILL,"(34.0592, -118.2414)",2017
141,1429688,170100714,03/30/2017,03/30/2017,230,1,Central,166,624,BATTERY - SIMPLE ASSAULT,1218 2004 0448 0400,54.0,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6TH,SAN PEDRO                    ST,"(34.0423, -118.2452)",2017
142,1429689,170100715,03/30/2017,03/30/2017,1410,1,Central,109,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0416 2000 2004 1218,36.0,M,H,710.0,OTHER PREMISE,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,PARK ROW                     DR,BUENA VISTA                  DR,"(34.0761, -118.2308)",2017
149,1429696,170100732,04/01/2017,04/01/2017,38,1,Central,181,624,BATTERY - SIMPLE ASSAULT,0416,57.0,M,W,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,11TH                         ST,LA LIVE,"(34.0451, -118.27)",2017
152,1429699,170100737,04/01/2017,04/01/2017,1945,1,Central,158,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0430 1218 1100,56.0,F,B,102.0,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,6TH                          ST,GLADYS                       AV,"(34.0403, -118.2421)",2017
153,1429700,170100738,04/02/2017,04/02/2017,110,1,Central,162,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 2000 1300 1601 0417 0416 1813,53.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,7TH,HILL,"(34.0463, -118.255)",2017
156,1429703,170100747,04/03/2017,04/03/2017,2140,1,Central,147,210,ROBBERY,0419 0416 0417 2004 0344,61.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,5TH                          ST,SAN PEDRO                    ST,"(34.0442, -118.2439)",2017
158,1429705,170100750,04/04/2017,04/04/2017,1825,1,Central,135,210,ROBBERY,0344 1402 2004 0416 0319,16.0,X,X,733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,3RD                          ST,MAIN                         ST,"(34.0489, -118.2453)",2017
161,1429708,170100754,04/06/2017,04/06/2017,430,1,Central,157,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1402 1814 0416,45.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,6TH,CROCKER,"(34.0417, -118.2443)",2017
162,1429709,170100755,04/07/2017,04/07/2017,1210,1,Central,138,624,BATTERY - SIMPLE ASSAULT,0416,61.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,3RD                          ST,CROCKER,"(34.0464, -118.2402)",2017
163,1429710,170100756,04/07/2017,04/07/2017,1145,1,Central,166,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 1218,49.0,M,B,102.0,SIDEWALK,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,6TH                          ST,SAN PEDRO                    ST,"(34.0423, -118.2452)",2017
170,1429717,170100765,04/11/2017,04/11/2017,1230,1,Central,111,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 2004 1218,25.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,SPRING                       ST,ARCADIA,"(34.0565, -118.2411)",2017
174,1429721,170100777,04/14/2017,04/14/2017,1800,1,Central,161,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0421 0429 0416,36.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,FIGUEROA,JAMES M WOOD,"(34.0462, -118.2628)",2017
175,1429722,170100778,04/14/2017,04/14/2017,2010,1,Central,142,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0334 0400 0443,30.0,M,H,102.0,SIDEWALK,312.0,PIPE/METAL PIPE,IC,Invest Cont,4TH                          ST,FIGUEROA,"(34.0537, -118.2558)",2017
176,1429723,170100779,04/15/2017,04/15/2017,40,1,Central,159,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0906,25.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,INDUSTRIAL,MILL,"(34.0359, -118.2344)",2017
184,1429731,170100799,04/23/2017,04/23/2017,1250,1,Central,161,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 2004,28.0,F,H,102.0,SIDEWALK,306.0,ROCK/THROWN OBJECT,AA,Adult Arrest,7TH                          ST,FRANCISCO                    ST,"(34.0501, -118.2621)",2017
192,1429739,170100811,04/27/2017,04/27/2017,2110,1,Central,162,624,BATTERY - SIMPLE ASSAULT,0416 2004 0429,44.0,M,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,8TH                          ST,GRAND,"(34.0459, -118.2579)",2017
197,1429744,170100817,04/28/2017,04/28/2017,2220,1,Central,141,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0416 0417 0421,61.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,5TH,FREMONT,"(34.0527, -118.258)",2017
198,1429745,170100819,05/01/2017,05/01/2017,1610,1,Central,156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0416 0429 0411 0319 0340,61.0,M,B,102.0,SIDEWALK,207.0,OTHER KNIFE,IC,Invest Cont,5TH,SAN JULIAN,"(34.0446, -118.245)",2017
199,1429746,170100824,05/02/2017,05/02/2017,1830,1,Central,158,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 0416 0400,24.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,INDUSTRIAL,KOHLER,"(0, 0)",2017
200,1429747,170100827,05/02/2017,05/02/2017,2100,1,Central,147,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 2004 1218 1814,29.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH                          ST,SAN PEDRO,"(0, 0)",2017
201,1429748,170100831,05/05/2017,05/05/2017,1220,1,Central,147,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1218 2004,32.0,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,WALL                         ST,WINSTON,"(34.0455, -118.2452)",2017
206,1429753,170100840,05/07/2017,05/06/2017,555,1,Central,148,210,ROBBERY,2000 1814 0416 0329 0345,39.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,5TH,CROCKER,"(34.0435, -118.2427)",2017
219,1429766,170100871,05/17/2017,05/17/2017,2000,1,Central,156,624,BATTERY - SIMPLE ASSAULT,0416 0903,50.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH,SAN PEDRO,"(34.0442, -118.2439)",2017
220,1429767,170100873,05/19/2017,05/19/2017,1930,1,Central,195,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0419 0429,20.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,14TH,MAIN,"(34.0353, -118.2612)",2017
224,1429771,170100885,05/23/2017,05/23/2017,1315,1,Central,152,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2004 0416 0903,55.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,4TH,HILL,"(34.0491, -118.2558)",2017
225,1429772,170100886,05/24/2017,05/24/2017,1840,1,Central,195,624,BATTERY - SIMPLE ASSAULT,0444,44.0,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,14TH,BROADWAY,"(34.0356, -118.2625)",2017
226,1429773,170100887,05/24/2017,05/24/2017,1755,1,Central,195,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,35.0,F,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,14TH,BROADWAY,"(34.0356, -118.2625)",2017
229,1429776,170100891,05/26/2017,05/26/2017,1430,1,Central,162,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1402,33.0,M,W,101.0,STREET,204.0,FOLDING KNIFE,IC,Invest Cont,7TH                          ST,FLOWER                       ST,"(0, 0)",2017
233,1429780,170100903,05/29/2017,05/29/2017,1700,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0334,29.0,F,B,101.0,STREET,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,AA,Adult Arrest,6TH,STANFORD,"(34.0408, -118.2428)",2017
241,1429788,170100911,06/06/2017,06/06/2017,1630,1,Central,153,624,BATTERY - SIMPLE ASSAULT,0416,23.0,F,W,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,5TH                          ST,BROADWAY,"(34.0481, -118.2507)",2017
244,1429791,170100942,06/22/2017,06/22/2017,2330,1,Central,148,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1218 0400 0429,45.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,5TH,CROCKER,"(34.0435, -118.2427)",2017
246,1429793,170100945,06/24/2017,06/24/2017,2030,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411 0906,44.0,M,H,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,6TH,TOWNE,"(34.0408, -118.2428)",2017
251,1429798,170100956,06/25/2017,06/25/2017,1350,1,Central,156,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 0445,44.0,F,H,102.0,SIDEWALK,514.0,TIRE IRON,AO,Adult Other,6TH,WALL                         ST,"(34.0428, -118.2461)",2017
254,1429801,170100963,06/26/2017,06/26/2017,935,1,Central,161,626,INTIMATE PARTNER - SIMPLE ASSAULT,1218 2004 2000 1813 0416 0340 0345,34.0,F,W,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,9TH,FIGUEROA,"(34.0462, -118.2628)",2017
257,1429804,170100972,06/29/2017,06/29/2017,2300,1,Central,185,624,BATTERY - SIMPLE ASSAULT,0444 0416,20.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,9TH,BROADWAY,"(34.0423, -118.2561)",2017
259,1429806,170100979,07/01/2017,07/01/2017,230,1,Central,153,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,25.0,M,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,6TH,BROADWAY,"(34.0467, -118.252)",2017
260,1429807,170100980,07/02/2017,07/02/2017,411,1,Central,157,210,ROBBERY,0344 0355,26.0,F,H,207.0,BAR/COCKTAIL/NIGHTCLUB,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,3RD,ALAMEDA,"(34.0416, -118.244)",2017
262,1429809,170100983,07/02/2017,07/01/2017,100,1,Central,157,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0906 0416,50.0,M,B,102.0,SIDEWALK,312.0,PIPE/METAL PIPE,IC,Invest Cont,5TH,CROCKER,"(34.0435, -118.2427)",2017
264,1429811,170100992,07/06/2017,07/06/2017,2200,1,Central,185,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444,54.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,MAIN,PICO,"(34.0366, -118.2602)",2017
268,1429815,170101003,07/08/2017,07/08/2017,1410,1,Central,138,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1402 2004 0421 0334 0445,20.0,F,H,102.0,SIDEWALK,207.0,OTHER KNIFE,AA,Adult Arrest,BOYD,OMAR,"(34.046, -118.2417)",2017
269,1429816,170101004,07/09/2017,07/09/2017,1815,1,Central,153,624,BATTERY - SIMPLE ASSAULT,1253 0917 0910 0416 2004,31.0,F,H,801.0,MTA BUS,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH,SPRING,"(34.0478, -118.2502)",2017
275,1429822,170104022,01/01/2017,01/01/2017,100,1,Central,165,210,ROBBERY,0305 0416 0344,58.0,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH                          ST,WALL                         ST,"(34.0433, -118.2488)",2017
281,1429828,170104049,01/01/2017,01/01/2017,1150,1,Central,156,624,BATTERY - SIMPLE ASSAULT,0305 0355 0416,57.0,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6TH,SAN JULIAN,"(34.0428, -118.2461)",2017
291,1429838,170104086,01/02/2017,01/02/2017,1100,1,Central,138,761,BRANDISH WEAPON,0334 0421,67.0,M,B,102.0,SIDEWALK,204.0,FOLDING KNIFE,IC,Invest Cont,3RD,CROCKER                      ST,"(34.0464, -118.2402)",2017
301,1429848,170104126,01/02/2017,01/02/2017,1305,1,Central,174,210,ROBBERY,0400 0344,24.0,F,O,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,7TH                          ST,MAIN                         ST,"(34.0439, -118.2514)",2017
302,1429849,170104128,01/02/2017,01/02/2017,1730,1,Central,118,110,CRIMINAL HOMICIDE,0411 0444 0305 1402,34.0,M,H,101.0,STREET,205.0,KITCHEN KNIFE,AA,Adult Arrest,LEROY,N  MAIN                         ST,"(34.0651, -118.2291)",2017
305,1429852,170104134,01/02/2017,01/02/2017,2005,1,Central,111,210,ROBBERY,0344 0400 2004,29.0,M,H,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,BAUCHET                      ST,ALAMEDA,"(34.0615, -118.2412)",2017
311,1429858,170104176,01/03/2017,01/03/2017,1000,1,Central,118,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 0344,25.0,F,B,108.0,PARKING LOT,306.0,ROCK/THROWN OBJECT,AO,Adult Other,MAIN                         ST,COLLEGE,"(34.0627, -118.2341)",2017
315,1429862,170104182,01/03/2017,01/03/2017,1400,1,Central,138,626,INTIMATE PARTNER - SIMPLE ASSAULT,2004 1218 0444 0429,22.0,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,3RD                          ST,CENTRAL,"(34.0461, -118.2395)",2017
320,1429867,170104197,01/03/2017,01/03/2017,1600,1,Central,134,626,INTIMATE PARTNER - SIMPLE ASSAULT,0444 2000 0429 1814,19.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,4TH                          ST,SPRING                       ST,"(34.0488, -118.2483)",2017
321,1429868,170104202,01/03/2017,01/03/2017,2201,1,Central,111,210,ROBBERY,0344 0907,40.0,M,W,707.0,GARAGE/CARPORT,102.0,HAND GUN,AA,Adult Arrest,CESAR E CHAVEZ               AV,FIGUEROA,"(34.0627, -118.2463)",2017
325,1429872,170104207,01/03/2017,01/03/2017,1915,1,Central,157,210,ROBBERY,0416 0429 0344,36.0,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH,SAN PEDRO,"(34.0442, -118.2439)",2017
328,1429875,170104219,01/04/2017,01/04/2017,155,1,Central,155,210,ROBBERY,0344 0416,25.0,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,6TH                          ST,LOS ANGELES,"(34.0439, -118.2479)",2017
331,1429878,170104224,01/02/2017,01/02/2017,645,1,Central,158,210,ROBBERY,0344 0416,37.0,M,O,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,7TH                          ST,CERES,"(34.0382, -118.2432)",2017
332,1429879,170104257,01/04/2017,01/04/2017,1510,1,Central,157,624,BATTERY - SIMPLE ASSAULT,2004 0917 0416 0446 1266,25.0,M,H,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,5TH,SAN JULIAN,"(34.0416, -118.244)",2017
354,1429901,170104305,01/05/2017,01/04/2017,1730,1,Central,154,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0411,59.0,F,B,101.0,STREET,223.0,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,5TH,MAIN,"(34.0471, -118.2491)",2017
358,1429905,170104312,01/05/2017,01/05/2017,1000,1,Central,155,210,ROBBERY,0416 1601 0344 2004 1218 2000,42.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,6TH,MAPLE,"(34.0439, -118.2479)",2017
360,1429907,170104334,01/01/2017,01/01/2017,1900,1,Central,152,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0431,30.0,F,B,406.0,OTHER STORE,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,7TH                          ST,OLIVE,"(34.0467, -118.2556)",2017
363,1429910,170104341,01/05/2017,01/04/2017,2200,1,Central,165,210,ROBBERY,0334 0344 0337,59.0,M,H,101.0,STREET,200.0,KNIFE WITH BLADE 6INCHES OR LESS,IC,Invest Cont,7TH                          ST,LOS ANGELES,"(34.0433, -118.2504)",2017
